Name,Postal Code,Kind of build,Year of build
Duyfraklaan 142,2235,Bestaande bouw,2019
Twee Gezusters 24,2342,Bestaande bouw,2015
Gondel 34 35,8243,Bestaande bouw,1979
Arbeidstraat 15,7311,Bestaande bouw,2012
Slotveen 32,6718,Bestaande bouw,2014
Rietgans 25,9781,Bestaande bouw,2018
Fonteinkruid 18,8445,Bestaande bouw,1997
Haselcamp 23,6631,Bestaande bouw,2006
Breemarsweg 357,7553,Bestaande bouw,1955
van Aylvastraat 11,9291,Bestaande bouw,2003
De Woert 5,9411,Bestaande bouw,1988
Schanswal 6,9407,Bestaande bouw,1979
Rustenburg 29,1506,Bestaande bouw,1901
Hanzeboulevard 79,3829,Bestaande bouw,2009
Boomstede 118,3608,Bestaande bouw,1975
Dahliastraat 30,1541,Bestaande bouw,1935
Burgemeester de Weertstraat 28,4715,Bestaande bouw,2004
Oude Koudekerkseweg 66,4335,Bestaande bouw,1960
Klokkengieterlaan 43,8043,Bestaande bouw,1997
Hoogstraat 74,3417,Bestaande bouw,1905
van Ostadelaan 34,1412,Bestaande bouw,1952
C. van Everdingenlaan 2,1701,Bestaande bouw,1972
Frida Katzlanden 6,7542,Bestaande bouw,1988
Canneveltstraat 8,8325,Bestaande bouw,2006
Anne Frankstraat 6,5142,Bestaande bouw,1988
Dorpsweg 6,4491,Bestaande bouw,1930
Zonnehof 9,1121,Bestaande bouw,1972
Koningsvaren 59,1441,Bestaande bouw,1978
Woudhuizerweg 59,7325,Bestaande bouw,1994
Vaarwerkhorst 109,7531,Bestaande bouw,1976
Tongerhof 7,5673,Bestaande bouw,1993
Boschweg 1,5481,Bestaande bouw,1978
Buitenweeren 15,1151,Bestaande bouw,1965
Jacques Offenbachplantsoen 7,3543,Bestaande bouw,2004
Ruwenbos 48,7543,Bestaande bouw,1995
Thedingecamp 59,7824,Bestaande bouw,1963
Bosrank 3,2496,Bestaande bouw,2001
Kerkstraat 21 B en C,5443,Bestaande bouw,2001
het Bijltje 39,8162,Bestaande bouw,1973
Berkenschakel 35,7437,Bestaande bouw,2001
van der Weidenstraat 4,5708,Bestaande bouw,2017
Ritzema Bosweg 15,6706,Bestaande bouw,1934
